"","V1"
"1864","BCCDABCABAABCCDCCDDDBCDCBDDCCBCADBBCACBAACCBBBDDDBCCAADBBCCBABDBDCCCDADBCAACDABBAADDDACBDCAACCBDCAACCCCBBDDCCDBADBDBBCDBDCDBBCACDACAACDCCBBBCADDCACACBDBABBAACBCCDBABABACACABBABDDCCBCACABCACBCDDBAACBDD"
"1865","BDACCCADDBABCCCDABBBABDBDABCCBAAABBAACAAAADACDABDDDBDCDBABAABACDBAACAABADBDABBBBADDACDCBACCACABDABCBBDCAACBCBCBBABCCCAACAACCDDABBCDAAABCBCBDDDBCBCABBBCCAABAAACCCCDBCCCBAABCCACBADBCBDDCCACDDAACDCCCCACB"
"1866","DCCBCAAABDBADACDDCDADDABADAACBAADABACBAACDDCACADABDDBADDDCBABABBBDCACADCABBABABBCBDDCADCABDDCBBBDDBAAAADBCBBABBCBBBCDBBDADACCBDDBADBACBCADBADDDDCBCDDBAACDADABCCDBADAACBACDBDBBDBDAADDBABACACBCCDAADABBC"
"1867","ABDCBADDCBBCCBDDCBCBCACDDBBAAAACACDCACBCABACDCCDCBBDCDDBAACDABACCCDBCDBDBBACADDDAACABDDCCACCCDABCCDBCDABBBBABABDCDABADCBCCAABBCCCCACBBCADDBDCCDADDBCDDDAAAACBDADADBBBDDCCDCABDBBBDDBCDDABACCBADACCDADDBB"
"1868","CBACAADBBBCDDBAACDCCBCBBADDCAABCDBDADACCCCDDBBCADAACBACBAAADABACBDCDCDADBBCADCDDAAADADBABBCACDCDDAACADCDBCBCDBACDCBBDBCCACAAADBCBDBCACAABCBADCABABBBAAAACDBADADCDCDCCDBDADDBBBAABACDCCADBABADACDABCDACCA"
"1869","DABBBBDACDCBAADAAADBBBBDCCDBBABDABBDDABDBBBCCBCDCBCADCCCDAADABDBDBBDDDBBABBDABCCACCABDADDBCBCBDCCAADADADABCADBBCCBAAADBACCABDDACBCAABADADABDBCBDDDCBDACDCCABCADDCBDBCABABADCBABDABDCADCCADBBCBAACBBDBCCD"
"1870","ABDADCBCABBCCBDBABDAADCADCCBDBBABABCDCABACADDCBBDBAACDDAABADDBDBDBABCBBCBCACDCBCBDABBACCDCDBADADADAADCAAAAAAABCCAADDAADCBABCAABCDBACAACCCBBDCADCDABBABABCADDACDDCAAAADDCADBDBACAAADCDCBDCBACCDCDBCDCCABA"
"1871","BADBACACACCDDDADBDDDABCACADCBCCCABBBCDADCADACACDAABACDBBBACACCADCADAADCBDDCCADDABCCAAADDCACDCDBBDADCCCBCADCDBBAAADCDDCCDABABBACABDCBCABCCCCCDCCCDBABDABBDDBDAABAADADADBBADCBBACDCBACBDBDDAAAACAADCBDACBB"
"1872","AADDCACAABBAACDCAACDBDABCDACDBCDBDADDBADBDDCDCABDAABADACCBCABCDBBDBDBAABDACBCDDBAAADBACDBCADADADBBCCCDDDDBAABAACBACBDDCAACDDDDACDDBCDBCCBDBAACCDADADADABBDDCDDADBADDCAACDBDACBABCDABACDDCACCBBADBCBDCDBA"
"1873","CBDCCDCCAADBBBDDDBABCBBDDCADDACACCBCBBAAACADBCCDACBABDBDBDACCDDAADDAABCABADDBDBAADADACDCBBDACBCBCDADDBAABBCCADADDCDCBBACBBBDADBDCABCABDBDBCBDADCBBACCADACCBDCCCCCAACBADBDBAADDCCBBDCACCBBBCDCACCBBACDDBB"
"1874","CCBBDADBAAADBCCDABADBBCBDBACAABBBDBABBACBBBBCAADAABABDBADDBBDBBCACBACDBADBBCDAAAACDAABDACDCBACBBBACBBBCDADBDCDCDBADABCBDCCAABBADDCDDCBDCCBCDBADCDCBDBADCBCACACDCCCCABCCACADDDADDAACBCCBBACBDACDACDBAABBD"
"1875","DDAABDDDDBBBBADDCCCCABADBDCACBACDACDBABABDDBAABCDAACBCBDBBCDDAADCCADBDDCABDBABDCCBBAABDBDABBCDDACDBDCCBDCDACCCCCCDDABBCCDBBDACADBBAABCBCBDAABAAABDDCCDCBABADCBCADCBCACDBBADDBACBBBADBABCBDCBCDAACBBBBADA"
"1876","DCBDCADACBAAACDCACDCCCCDDABBBBCADDBAADBADCCBBAACCCBDBADCBBDDADAAAABAACBCCCDADBADACCACABBBCBBCDDDCCABDACCABCDCDADDDBCDCDDCCDAABCBCDBBAAABBABCCCDCBACCDBBCCBCDBDDCBCDBCCDCCBDCCDBDDCDBABCACACBCCBCACCDABBB"
"1877","DDCDADCABBDCCCDDBBCDDACDDDCBAAADCABDCACDBBADACAAADDAADACACDBDCACCCABBAAABDABADDBBBCCDAAACBDBCBBADDDADDAAABCCCAAADADDDBAABAAACDDABDCBCCDACCAADCBDCBABCABDDDDDACADDDDBDBDDBDDBBDDBACCBADAABADCABCDBBDAACAC"
"1878","BDBBABAABBAACCCABACABCAABCADDBDCBABCAABCCDBCDCDDBDCACBBBCDBBBBCDCCBABCBBDAABDABCCBBABCABDDDDBDCBCCBADCBBCCADDCADCBBCCBBCCBCDAAADBCDBDCDAAAABCAABBCACDBBCCABDABADDBDABCACDAADCDDDBDABDDBDBDABDCBCCDACDACC"
"1879","ACBDACACCBCCBBACBDACCBBDCCABCDDBCAABBBCCAACBBDAADCBBABDDDAADDABCADACCACCDCDAACAACBBDDCBCAACCBAACBDADCBDBABADACDDDCAABABABBBDDBCCDAADADCBACADBBBCCABABBCBABCAAABCBDCCBBCCBACABABCDBBBBADCCBBADCABACDBDDDD"
"1880","ADBAADBBACDBDDABCCBBBAADAABCACBBBBCACCBBDBABAAADBCBBABDDCACBBCBDAADADDDDCADBCBDBCDBCBADCCCDACDDCACCDBADDDCCCABBBDACACACCABBBCDCBAADCBDACBACDCCADDDDCBBDCDBDADCCDCCCDCACDCBBAADCBACABBAADBBDABBBDBBCBDDAA"
"1881","DDABACBCADCCABCBCDBCBCACCADACABBBBDACDDADBDDBCAACDCABCDADDBCBCBBADADAAACCBADDADCBBADAAABBDDBABCBBBAABCDDCCADABDDABBCCDACBBCACACDBADBDACCBCDDCCDCCBCABCAACAADAABBBADCBCBCADACCDABBBCABBCCCCDBDCDACAAACBCB"
"1882","CBDCCBCCCBBBBBABDDCADBABDDCDDCDAADACCDBABBCCDDCABBCCBBADCCBCCCCBBBAABDAABDBCADBDAAAADCBCAADCDDDCBDCDCADCCAACABDBDBDCDDDBADCCACBBBAABBCCBBDABADBDCABDBACAACDCCAAAADCAADAACBCADBDDBACDBBBADDDBAACCCDADCABD"
"1883","BACCBAABDCDABCCBCAAADABABCABABCCCCADCDAACDAAACBBACACDBBACAADDCDBDDBDCDCADCACDAABBADDBAABACBCDCCCDAAACACDCCBDBCAADADABACACDBBDCBDACBCBCBDDAAADBDAACCDBBBADACBBDBCBBDDBBDACACBABDDCCBDACCACACBCBCCBBDBDCDD"
"1884","ACBADCABACABACAACDCADBBDDDCAAADDDACDCBCABABDBBCBCBCDDADBADCDDABCAADACADAACDCBCCDBBAACABCCADBAAADBCCBDABBCDBBDCDCBCDABCABABBBDDDCCCBDDADDADCBBBDACBDBBBBBDDBDBBADCCDACCABBCACDCBACACBBBBCCDDBCDCACDBBCCDC"
"1885","BDCDBDAADABDCADACCCDBBAAAABBCBBBADBADACBADCCACAABCDADCCBBACDBDBCCCCDADBDCDBAABCCCAADBCDCACDACBADBADCCACBBCABABBCACDDABBDDACCBDDADACDDDBBCDDCBABCDBCCBCDBBADACBCBADCACADBBCADADCABCBBCDCBAACCDCCCAAAADDDD"
"1886","BADBBCDBCDDCCABBBBADCCADCBCADBACBCBADCDDCCDBABADDDDAADBDACCBDBAAADCADBCAAADCBBDCACCADCDDCACBBDCCAACAAADDACDDCAACBBDDBBBAABCAACDDABACCADDBDDAACCABDCCCABBDBDADDCCDCAADBCADCACBBBDAADBCCCBBCBBCCBDDBABBBAB"
"1887","CABDABCACDDAAAADCDBDCAABABDCBDCDABDCCDBDBACDDCCDDADBDBBCADDDAAAABDBCDDBABDADDDCCCDAABDABDDAABACCBCDDCBACBADDBABCBDABBDACCCCCCBBAAAABBDADDACDDDADDACACCDBCDAADACDCABCCABBCBBCCABDDDAAAACBCACABCCDDCDAABCC"
"1888","ACCDDABBDDBCABADABAACBCCAADDAABBCCBABABBCCDAABDDCDDCAABADAADBDDCBDDADAADACADDDDBBADADACDACBCDABBDCDCBCCADDDADABDBBBBCADCCDAAAAACABACABBDCACCACBBBCBDABDACDADADDBBDBCDADCDBBCAABBABBDCCCBCBBDACABBBDCCDAB"
"1889","BACACADCCBDBBBBABCAACDBDBCCACBCCBDDABBDDBCBACBACDDDCDAADDABACBBABBCCBDBCCACACDACCDCBDDCBBDBDDBBBADCADDDAAACACBDCDCCDCACCBDCCDAABDCDBCADCBCCCBABBBBDCDDBACABCDCDABDBDDAACDDCABCDBCBCBABDABCBBDBACCCBAACCC"
"1890","BDBDCBCBCCABAACDBABCDDDBADACCCADADBABDACACBADBBCBCBBDBBBAAAADADADBABDBCBBDCBBBDCADABDACCDCBBDDACACDCCCCDBBDABBBADCACCDBCABCAACBBDDDCBBDBCBACBABBCBBCDBAAABCCAAAABCCBBDABBDCBDBBCBBABDBCDADDBBBABAABCACDC"
"1891","AACDBCBCADBABBAACCDCBBABCACCBBADCDAAACCDDADBBCDBADBCABDBADADDACAAADCBDBBDCBBAACCBDCAADDABDADCCACACABBADADBBACBCBDDADBBDCCBCBCABABCBDDCCADADBCBCDDDDCDBBCBCABBBCAAADBDAACCCDABDABBADDADDDDDCCCBABADDCADCC"
"1892","ABABAAADADABDACABADABBBBBABDABBCDDDAABCDDCCBAACDBADCADBDAACADDAADAAABBDCABBDBCAACADABDCDBBDCBACCBDDACAACDDBBABDDABBBDABADCABCACADBBDACADDCABDADBAACBCBCADCDBBCDDBCDCCACDDAABBCDACCDDBCBBBCABCCCCDBCCABAA"
"1893","DCABABABBCDDDCCCBAADBCACADCACAABDBBCCDBCCCCABDBDCDCCBCABCABBCCCDCCCADBAAADDCAACDACADBCACACBDACACACCBDBDBACBBCCCBCBBADBBABCCDCACBCAABAAACBCBABCBDDCDADABBAABDCDBDBBDCBDCABDCBDBBADBDAAABACABCBACABDACDAAB"
"1894","DDABDABAACADADCCBCCCBCADDCBDCADCACBBBDDBABCDCBCCDABDDABDDBDBBDABBBBCACCCDADACABCCBAACDABCAADCCDDDBCCBDBADADADDBDCABBACDABCAABADBACABBCAABCCCAAABDADBAABCCBCBACDABDDACDBACBBDCBCCCAABCBACBCABDDDCBBDCADCC"
"1895","ADDBBDBBCABDBCCAADBADBAABCCBBDCBDDDCADDDBDDDBADDBBBDCDBBDBABDBAAABDBDCACDCCACADABBABACDBBCAAAABACCBBCADCCACCBDACAACABDBDAADADDDDACCAAACDCDBBADDBBDCACBACCAADCBACDDACCBACDBBCBCDDCABBCDAABCACAAADBCBAAACB"
"1896","DBDDAABDADDBDABDDAADAABCACBDDDADCADCCCBABDABADBCDCDABDABCCBADABDCCCBDDDBADBAABADACBABBBBAACABDBDCDBDDDABBCACDDCDCAABDCBCBABAABCCCDCCBCCBDABABCCBDADDCBCAABBDBBACCAADACBADDABBBCCDCDADCCDDCDBAAABCADBBDAA"
"1897","DABBACBCACDABADACACBDDDBABCAACBDAACCDBACACDCBCBBCACDBBBBAAAAADBBACCCBDDBDACAABCDBAABBADCDBDCCCBCAABBBBDDACCAADCAACDABBABDBCBCACCACDDCCDCDCBBADDCBCDBBCDCDCCDACABABCBBABBDBDDBCCBBADBDDBDACBDADBABDACAAAA"
"1898","ABADBABBABCADCDDBBCCBAAACCADBDCCCBDDDCBCCCBBBABDBCAADBBCBDABAACBDDBCDDCCDCCADACAABCACAABDBDBADBBAAAACDABAADDAACBBDBBCDBCCACBDCBDBABADBCADBABBDBCACDDDDBDCBBADDACCCADDBDBADCBACABDBCACDADCDCCACBADDCDCDBA"
"1899","ACBADADABDDBDCCADDDCDCAACCABAAABBBCDCBDACCCDDCCDADABBCDDCDDDDADBDCCBDADCBDABABDCDCBABCCBCBCDBDDCCDDDCABBBBCCCBDBDDCBDDBBBDABDDAAACDDDBDBAACDCBCBADDCDBDBACBBDADBACCDBAADBABDDBDABDACADADCDAADABDBDAAACAD"
"1900","BBBBBABCDBDCBCABCCBADDACACAABDBDDBCBACBBCAADDBBBDDAADCBDBDACBABAACADAADDCDBAADACBBDCBCBCDBDACADBCDCCBBBABABDACADDABCAADCBAACCBAAABBCACBABBABBCCDBCDBBAADACDACBBBADAABBBACCDDCDAADBDAACCAABCDACBCAADCBBBA"
"1901","ABDDAAADAABDBDDDDBBCCDCBCADBCBDDDDCACCBACBCDBDCACBADACCDCABBCABBDCBBDBDCAABABACAACADCBBDCBDBCDCCACCACCCBDDBABCDDDDABDCCCABCDCDBDBACAABCCDBDDDDBBCDBADBDADDBAAACDCDDCDDDAADCCCBDBBACADBBBACBBABADBADADBAC"
"1902","DDCABBBACCBADCBCDADADBDABDBACCACDCAABBACBBCBAACBCDAADABBADDADACDDACCDABBADDAAABBACBABBCCCAACABCBABBCBADDDCBABAAAACBBBCDACDAAABDCACCBBABCCBBCCDADDDDDCDDCCDADABBDDBBAACACCCADAACCABCDBCBADABBBDCCBACCBDCA"
"1903","BCDABABDCACCBCADCDBBBCBCACBBDAACDDABAABDACACDABCDAACAAADADBBCAAACCBBCACBABBDCBDACCCCBBDDCDCBCDCADBAAADAACBCBACACABAAADAAACCCCBACCCDBADABACBDDDDADDCBBCBBBAAAAABBABABBBBCDBBCBDCBBDCABDAAAABDABBACDABDDAD"
"1904","DAABDCADAADABBBCDABDDCACABDCCABCDACADBBCBBCCCAABCBCAADCCBBABBBBCACCBACCDADDBACAADBBBDACBCDDBCBBABABCCACDBBACCBCDCCAADDCADAADAABAACAACBADADCBDDACACBBABBDBCABBDDDCADBDCCDAACBAABDCABCDDDCCADBDDABDBDDCCCD"
"1905","DADCBCCBCCBCBADCBAAADDCDADBAAAABADCDDBDDABDBAADBACBBBAADCAAABADDBDDCCABADBDCAACCBABCADADBBBADAADDCABACBBDCCDDABCABBADCBDDBDBDDBAABDAADDBCAABCACCCABAADBCCAACDDBBCAACBDCBDDCDAABDBDCBDDCDDCAAADCDCDBBDBAB"
"1906","ACDDDBCAAABCABDCDDABAADDBBBBDCCAABBBDDACBBAABADACBDAACDBACAACBDDDCDCBDDABBACBBABDABCABACDADBABCCABDBDADAABBBBBBCBDBDCADDABDACBBACDCACBDDCDADCABAABDBBBDDDADADCBACCCACCACAADCBAADBABCDCCDBDBADBCDDBDBBCDD"
"1907","CCBCCBDAADCBACBCCADBAACCDBACABDCCCCCDABADCACBADDDBADACADADABBDABABDADBAABBDABDCADADCBDCADDDCACADCBADABCBCDACDBCCBBBACDDBBDDADBABAADABBAAABBBDCDDAADDACCBBBCCDCCBDDACDABDCADACBBBACAACCDABBADCBBDACAABADD"
"1908","BBBADCDBBDDAACAACBAABCDDABCADACCBDDCCAAACBADBCABDBAABAABDADBCCDBCBADBDAAACCCDDACBCDCBCBDBDDCDACDACBDBCBCBDACCDCACACAACAABBCAAAABACDABCBBDADBCBAABACCACCDBADDCCDCBACDBCABBCBDDADCDDDBACABBCBADDAABCBBDCCA"
"1909","AAABACCDCCBBDDACDDDACBAAADAAACCBCCABCBCCDCDCCACDCAACDCCDDACDCCBCDACAADAAABCCADCDDBAADCADACBADCDBCACCABCADCDDADBAACBACBCCCBCDBBADADCBCCABBBDBCCBDAABDBBADCCADDAAABDDAABAACDCBBCBCADABADBAACBDCBBCDBDBBADB"
"1910","ADDDDBCDCDBBABCCBDCDBDBDACCCAAACDCCDACBADDDACBDDBDBADDDDDDABACADCBADCCCDACADBCDBDBDCBDACABDABDABACABDAAABDDAAADBCBCBADABDBBCCBCCBBCABBABABCCADDDBDAABDCDCBACBABBDADACDACACDBBBBBDBBCCDAADCCABBAACADCDBAD"
"1911","ABBCDCBCDBACABBBCDBBDCCDDCCACCCDDABBDDACBDCADDBCDDBABBCCAABBBCAABCDBACBCCBDDCCBBCDBDCCABDCCBBCBCDCCCDCDAABCBDBDACDDCCCADAAADDAABBBCDCDBDDBDDADBABBCDAACABCAABBDBBBBCBCDAADADADBABDACCCCAACBABDCAABCBCBAC"
"1912","BACBDCABDBCBCBCDAAACDBDAACBDDCBCBDBDAACADBACDDDADCBCCDBCDDADBBBCBCCADCDBDACDAADBBACDCBBCBBADDBDBABDBDCBBAAAADAAACDCACBDDADABADACABCAACBBDBABCDABDDCCACCADBADBBABBBADABBCABABCBDDCCCABDADCCBBBBCDBAAAACAC"
"1913","DCCBBACBADAACDDBDBCDBAADABCBACBADBACDDDBBBACABABDCBDDDDADDBBBDBAABAABBABCCCDAABBAADCABDDCBCBCDCDBCDABADBCCDDDDBBBDBCBCDBBBDBACACBDADCAAAAABCBACCAADDBCBBDBDCADCBCCACACCDBAABADDDCCDDCBCDBABACDAACCBBCBDA"
"1914","AAABBDAABABABCDDAACACBADBCDBBCBACCABCDBCADADDCDACAACDAADACDACAABBDCBABBCBBBCBBBAAABDDACDDDBCBBBDCABBCCBAABCDADAACBDADBAABADDDBAABBBDAADACAAADCBDBBBDCDACDBACBADDDDABADDAABACACBDBBCBBADAABCBCDCAABBBDDBC"
"1915","DABDDBBCDDCBCAACCDCACBACDCDADAACDABABCADBDDCCCBACDDDDDABABDCABABBACDBDAABCAAAABDABCDDBBCCBAABCAABACCABDBADDBABDCBBBBACDBDBDDBDCCDACADBDCDDDBDADACBBBDBCDABADDCDBBDAADDABBACCCBBDDBADACADBCADCCBAACACCACC"
"1916","BDBADBACADCBAACCDACDBABDCADBABCBCADABDBDACDDCDCDDDBDDCDCABCAABBBBAACBAADBABABADBCBCDCBDACDBDBBCBCABCCBDDDCCAABDADBDBCCCACBDDCBDDCCDACBCCDADBCDABCBDCDABDCCADBACDBADDBAABDBCCDBABDBBCDDDACABDBADACBBCADCC"
"1917","ACDBABABDCAAAADCABCCADDCCDCDDAADDCACADCABDADCABADDDAABDDBDDACBBBABAADCCDDCCCCCCBACDDAADDDCDAABCACCDDDADCACCCACABDCBBDAACDBDDCAADADDACBBCBADDACAACDCAADDBBABBBABACDCACDBDCCCDBCDAAADABCDCBCACDBCADABCABDD"
"1918","CCBCBCBBCBDDBCBCACAADDCDBBBCCDBADBBDBDDCDBDDACBABCDABDAADBDCADCACDABADDAADBCCBDCCACCDABCCBDACCDCDBDBCDCDDBABBBBCADCDDBADADACABADCBBACCBCADBACDAABCABABCCCDCDDCCDADADBAADDADABCABCADBAACAABDDAACCBCDCDADB"
"1919","DAACBDCDDDDDAAAABDBABBADBABDBCBDDCBDCCBBACBBBDBDBCBBBCDBCDAABCADDACCBABCADCCAABCBCBACDBBBDBADACADDCDBBCABDDAAABBADCABCDAAABDBBDBDDCAADCDDDDBBBCCACADACBABADDBCDDDAADAABCADAACDACCABABCADADCAAABDABDCCBCB"
"1920","CCCDDDACBAADBDADCCCBDAAACDADACBCDACABACABBDCDBCBCDDDCCCDDDCCABAABCACCADCDDCCCACBCADACBBDCBDCAACAACCBCDBDDDABADBDCBDBCBBBBDBCBDADBCCACBCDBDABAABDABBCBABDBDDAACADABAAAADDBAADBADACBAABCBDCDCAACACAADDCBBA"
"1921","ABABCACDABBDDCBBADCDABDDABDCAABDBBDBABDDDBBAABCACCCCBDBBCACDDCBCBABBBBCABADAACBAABAABCCACDDDACCDBDDBBBBDDDDDBBABDACCDAACADCABDCDBDCACBCCCACBCCDBCBCBBCACAACACBBBDDABDABCBBCBACDBABCBDAABBABDDBDBDBCCCBAC"
"1922","DCDADADACBBAADDABACCBCADADADDAACADABBDBDAAABACCCBCABDDBACCABDDBBACBABBDCBDBCDBDCDBCBDABDDCDDBBDAABDDCDDBBADAACBCABBBACAABDCDBBBBDDDDCBACCBCABDBBBDACABACAABDAABBBCADADACBDBDBDADBCADAABBACDDBDABBAACBAAB"
"1923","BDDDAAAABCCACDACCCBDDCABBABBCDADBCBABADBABADBDBCBBCBADACBBABCCCBDABCBDACAABABAACDDCBBABACBCCBACCBDDDBACCBBCDBDACDAACDDCDAACBABCACADDDBBCAABDCDDAADDAABDCABAABBDADCBDDDDDBCACDCADADDDBCCBABDBACDABDCDBCCD"
"1924","DABBADACCCDBCCADCACABABDADBBBDACADAADCDDABAABDCCBBDABBACDAAAAABBDBADBCCAACDCCCCAABDAACBDABBDDDCACDBADCDBCABCCDCBDAAADCBBDBAACCDBCBDCABACBDDBDADAADCBDAACCCBBAADCCDCCADACAABCDDDBDACAACAAABADBCCDBADDADBD"
"1925","BACABACACADCADDBAACACDDADCADCACAAAADDACCBDCABBAACADCDDCCABDDBBACADABDADAADCBADAABCACBCDDACDBADCACBDCBBDDDABBCABABCCADCCDCBBBBCAADDACACCBBBBBAABDCDBDBCADBCCDBCCBCADAACBDADBBBDBBCBBBCAABCCDBCACCABCDCCCA"
"1926","BABCCDBDBCAADDDDBDBCAADCBBADDDBACBDCADCDACDCDBADDACBBDDCBABBBDCAACBDBCBCDCCCABCDBAAACCADCBDCCAADDCCDABBDAAACDBACAAAACDABBDDCCDDDCDCCCADCDAACCDCABDCCDCBDABDDBAADCDBDADDBCDDAACACADCACBDDAAADDABCBBCBABCD"
"1927","CCADCDBACACDDAABCCADBDADACBCBBBCDCBBABCACDBABADDDABABBCBCCCBACDCDDCABBCDDDAAACABDACDDCCBBCBDCBBDDDCAABBBBAADACCCADABCBCCDCDAABADBAACCDCBACBBBDBDADDDDCACCCACABDBBCCCBCADAACDAADCABCBBDACAABBABBCDCABCDAD"
"1928","BDDACDBBBCCCBDAACABDADDCCCDAAAACBAABACCBBBCBBABCBDCDDACCBDCCADBBBACABBCDBDBBDDDCBDCDABABABBDDDBADAACBADDADCBAABDACCADBABCBDBBCBAABACBADCCDDCDDBDACBBDABACDDADBBCCAACDBACADDDDDBCBABCCAABDACADACCBBACCDDB"
"1929","DBBCADBACDCCAADBCCCCAAABACBCCDDCDCADAADDCACBAADBBBCDBACDBBBDBCBBCABDAACBACCAAAABAACBBCDDDAAAABCABBDCBDDCACCCBACADBCAACABBCBCDDCBBDCBDBABABACBDBCAABBACDDDABAAAACBDDCABBBBBADBABCABCBABDACBAACAADDDDDAAAC"
"1930","BDBBDABBDCBDAADCBAABDACBBABAACCAABACAAADBAACACAAAACCABCAABACBDCCACACADDCCACDABDCADBDDADCCBCBBBBACDABDBDACBABBDAACCBBBADACBCCCDCCAADADADBCDDCABCCABBBCABBBDACDBBCDDDCBDDCBBAACADACAABACADACDCCDAACBDCAACC"
"1931","CCCCCBCBCDCCCACDDCBBDCDDDDBCCBDBBBBCCACACBBDBBDADBBCDBADAADACCDDACADBDDBCDADDADDADCBCCDCCCCADDDACBDBBDCBCCDCAAAABAADDCACDACBCBCCDACDDADCABABBDBCDBBCDABABDCDBADACBDCDDAADDABCDBCDBCABBCDCDCBDBABADAACCBC"
"1932","DABBACCDCBDCBCDDCBBBCBBBBBDBBBCABDDDBADBCBABCCADCCCCDACCAABDBBDDCAABABCDCCBCABDCDCDDCDAADAAADCDBCDADDBBABDDCACADDCDCCBBBCDDCCDCBCCDCDBDBCBDDABCADACBCABCDACDACCABADACACBBBDADAAAABBDBAACDAACAAADCCCBBACD"
"1933","CCDACCDDDBCABBDBCCCADBBDDACAADCBACACDDDBDCCABDCBDABBDDCBCBAABBDDBCABCCCBDBBADABDDCABBABDBBBDCCADCADDCDCCDBDAADBCBDDCBCBBBBDBDDDDADDDCCCCDABCCACBBAACBDBAADAADACDBBBABCDACDBBACBCACCACAACACBBCBADDDBBADBA"
"1934","ADDADDABCABCBBCAABAABDABDCCDBADACBBCCCDBDCACCADADCCCCBDABBCCCADAABBCADDDAACCCACDDDCBCAAADDAAAACABDBDCCDCBBADDAAABBBBBBCDBABBADACCCBCDBBDCACBDACCDBCCCDDDCCCAABAACBCCCDCCCDAACCAABCCCCCCBAAACCCCABCBBBCCA"
"1935","CACADBCBBDDDCABCDDDDDACDCACADABBDCCBCDADACDBADABBCCDADDAAADADCDBDBCDBABDDACACBDDBDCCDDDCCCDADCADBCABABDACDBCBBBDDACBDDADAACBCCCDABCABADACBBBBACDADADCBDACDDCBDADBDCBDDCDAAAADABDCDACBDDBABDBBCBAADBCBBDC"
"1936","CCDABBACBCCAACBCDDDBBBAAADCBABDBACADDDCDBDDBBDCCDBDAABDDBCCBAACDCACCDCBDAADDADCCDDABABACCCCDABDCBCACBADCABCCCAABAACCDCBBCBDDDCCADCCBCADBDACCAADADDDCDBCDDAAADCDDBAACCDBBAAAAAABBDDADCCBADADDBCCDCBBBABDC"
"1937","AADBDACBDCADDCBCDBCADDBBCAADDDADDCABBCBCDACBBBDABDDACBDAACCCCDADBACCCAABCCDCBBACCABABBCBCDBDBACDCAABBACCBCDDCBACDDBDBBDCABBAABAADDAACCCCDBBBADAABDDCDBCBBAAABCBAACBCCCBDABDCCDBBADCBDCCCBACACAABCADADADB"
"1938","DCBAABCCABDACAADDACBBAAADDBADBBBBDCDADADAAACACBBABDCACDCCCDBAACADDADBDCCCDABCDDBDBDCCCDCCDBABDDCAADBDADBCAABBBBBADABBCBCCACCBAABDABDDBADCABADBCCCDDCDACCADDBCBABBDBCBDBBAAADBCDDABDDCADBCCBBCBDDAADDBBAC"
"1939","BACDCCCCDADADDDABBCACADCBBADABCDCDCDADABADBACBBABDBDDDAABCCDCBCCBDCDADCCBBDADABDCCCCBABACBCCCDCBAADCBABBDDCBDCABACADBDABBCDACBAACACBABACCBCBBCBCDDDBCADCBDBBDCBDBCDCCCABDCBBDAACAABDBDADCDACBCCBBDBACBCD"
"1940","ABDCAACDCCBAADAACAABCCADCDAAADBBBCBBBCBBADADCACDCCABDAABCBAACDCAADADDBBBCBBADDCBABDCCDDAAACDBADBBAACCABACCABCCBADCDCDADDCBBCDBDADBBACADCCAADBABDDCDBDBBBCACABCCCDDADCABDDBCACBADDCDCCDCCCADDACCDBDCDAADA"
"1941","CCBCACDDABBBDACCDAACDCDAACABDCBDDADBDDBDACDDADBAAAACCDBDBADDADBDDCDDDACBDBDCCCDCDBACBCBCBDCBACBBACBAADCCDACBCADAADADCBBBADABABAADDACBCBAABCCDDDADDCADBBBAAAADADCCCCBDABDDCDBACBABDCBACCCBCBDCDABCCDBBAAB"
"1942","BDABABBBCBDDBDDBDBDCCABDCDDBDDADADCDCABACBBCCDDACABBCBBDDCADBBBCDDAADADBBDAABBADBCCDDCBDDBADCBCBCBABDDBABDAABDCBDCDDDDDBBBBABCBBCDDBAACCCCADCBCBCDCCADBBDDCBBCADDCCDCDADABDBAAABBCCCABCCCADACCDCDAACACCB"
"1943","AAACDBBABDACABBCACBDBBDDCACCAACACBDBCBDDCCBBABCBCDADBCDBDCBCDDAACDAADADDCDBCCBACBBBCBAABBBDAABDDDAABAACDDACCCACACCDBCDBBBBADAAABCCABBDACCADCCADABADDBCBCBCCDBACBDCCCDBDCBBDCCBDCABCDDABABBBBDABABBCBDAAD"
"1944","DCBCDCCCABDCDDADACCDACCDBCCAACDACBCACABDABDAADBACDCAACDDBCAAADADDACDCADCACCDCBAABDCDBDCBDCBBCBDDBCDBDCABBAADBDDCCDBABBCCBCDABBCDDCBCBCDDABDCBBABCBCDACABCBDCCAAADBACDBDADADCDDBACDBCDDBBCDDADCBDADADADCA"
"1945","DBDBBAACADCCBCBBCBABACBBDAACDACBDCDAABCCCABAACACDCCBDADCDACDDABDACCDDBABDBABBABABDCBCDCCBABCACBCCDBAABBCBDCBCBDCADADBCABCCABBABADBBBBCAACBBDCBBCCAACAADDDCADBBBAADACCDCABBAACBBCACCBAADBDDCDCBDCDBBDACCB"
"1946","BADBBBADBABDABDACDCBCADCDACABDACAABBACCBDDAABCCCBDBBCDCBBDCBBCABDCBBBADDAAACABACDDCBCBCBCCCDDDDAAAACABBCADADDCDCCAADCDCBBCBCABBAADADBADDAACDBBCDCBCBDACDDAAADDABCDADADCBCADADBDABBAADACDADBACACADCCDCDAD"
